novice,tradeN,63,77
novice,tradeN,170,63
novice,tradeN,170,236
novice,tradeN,165,170
novice,tradeN,165,5
novice,tradeN,165,330
novice,tradeN,322,165
novice,tradeN,322,139
novice,tradeN,322,235
novice,tradeN,2,322
novice,tradeN,89,2
novice,tradeN,89,260
novice,tradeN,154,89
novice,tradeN,154,341
novice,tradeN,154,55
novice,tradeN,154,28
novice,tradeN,154,29
novice,tradeN,122,154
novice,tradeN,122,141
novice,tradeN,122,244
novice,tradeN,122,43
novice,tradeN,122,177
novice,tradeN,122,w19
novice,tradeN,317,122
novice,tradeN,317,255
novice,tradeN,258,317
novice,tradeN,258,34
novice,tradeN,258,265
novice,tradeN,258,174
novice,tradeN,258,315
novice,tradeN,258,49
novice,tradeN,w5,w10
novice,tradeN,332,w5
novice,tradeN,332,30
novice,tradeN,332,160
novice,tradeN,37,332
novice,tradeN,37,144
novice,tradeN,37,199
novice,tradeN,37,77
novice,tradeN,228,37
novice,tradeN,228,36
novice,tradeN,228,250
novice,tradeN,228,150
novice,tradeN,228,254
novice,tradeN,228,306
novice,tradeN,228,163
novice,tradeN,228,330
novice,tradeN,228,38
novice,tradeN,228,191
novice,tradeN,228,328
novice,tradeN,228,261
novice,tradeN,228,136
novice,tradeN,228,234
novice,tradeN,228,25
novice,tradeN,228,182
novice,tradeN,228,103
novice,tradeN,228,123
novice,tradeN,228,159
novice,tradeN,228,134
novice,tradeN,228,220
novice,tradeN,228,178
novice,tradeN,228,244
novice,tradeN,19,76
novice,tradeN,19,328
novice,tradeN,19,323
novice,tradeN,w16,19
novice,tradeN,w16,78
novice,tradeN,w16,149
novice,tradeN,184,w16
novice,tradeN,184,59
novice,tradeN,184,70
novice,tradeN,199,184
novice,tradeN,199,150
novice,tradeN,199,326
novice,tradeN,199,2
novice,tradeN,113,199
novice,tradeN,113,261
novice,tradeN,207,113
novice,tradeN,207,108
novice,tradeN,207,55
novice,tradeN,207,218
novice,tradeN,207,267
novice,tradeN,172,207
novice,tradeN,172,80
novice,tradeN,172,92
novice,tradeN,172,67
novice,tradeN,172,36
novice,tradeN,172,210
novice,tradeN,172,211
novice,tradeN,172,109
novice,tradeN,172,286
novice,tradeN,172,66
novice,tradeN,302,172
novice,tradeN,177,328
novice,tradeN,335,177
novice,tradeN,338,335
novice,tradeN,338,197
novice,tradeN,338,97
novice,tradeN,145,338
novice,tradeN,w9,145
novice,tradeN,w9,332
novice,tradeN,w9,65
novice,tradeN,w9,306
novice,tradeN,w9,224
novice,tradeN,w9,125
novice,tradeN,w9,266
novice,tradeN,w9,213
novice,tradeN,w9,223
novice,tradeN,w9,289
novice,tradeN,w9,24
novice,tradeN,w9,273
novice,tradeN,w9,276
novice,tradeN,w9,248
novice,tradeN,w9,w4
novice,tradeN,w9,321
novice,tradeN,w9,56
novice,tradeN,w9,162
novice,tradeN,w9,305
novice,tradeN,w9,189
novice,tradeN,w9,128
novice,tradeN,w9,207
novice,tradeN,w9,206
novice,tradeN,w9,187
novice,tradeN,w9,29
novice,tradeN,254,63
novice,tradeN,340,254
novice,tradeN,340,136
novice,tradeN,w18,340
novice,tradeN,w18,277
novice,tradeN,w18,61
novice,tradeN,w18,269
novice,tradeN,w18,123
novice,tradeN,w18,w11
novice,tradeN,w18,70
novice,tradeN,w18,149
novice,tradeN,w18,311
novice,tradeN,w18,95
novice,tradeN,w18,5
novice,tradeN,w18,29
